Calories,Cholesterol_recipe,Fat,Protein,Sodium,Carbonhydrate,Cholesterol_WHO,BMI25,BMI30,Country,lat,log
1.06,0.74,0.69,-0.17,-0.58,1.75,0.0,0.97,1.53,United States of America,38.89,-77.01
-0.37,-0.76,-0.53,0.24,0.21,-0.21,-0.06,0.66,0.77,Mexico,19.43,-99.13
-0.38,-0.29,-0.28,-0.02,0.14,-0.29,0.31,-0.87,-0.74,Thailand,13.74,100.52
1.31,-0.3,1.35,1.36,1.93,0.11,-1.43,-0.91,-1.07,China,39.91,116.4
-1.63,-0.72,-1.46,-0.46,1.45,-1.87,0.33,-1.11,-1.24,Japan,35.65,139.84
1.31,0.91,1.6,1.79,0.09,-0.38,-1.82,-1.64,-1.29,India,28.64,77.22
-1.12,-1.07,-1.04,-1.22,-0.9,-0.16,-0.29,0.81,0.7,Greece,37.98,23.73
-0.48,-0.65,-0.7,-0.6,-0.71,0.31,0.45,0.82,0.67,Spain,40.42,-3.7
0.22,2.19,0.15,-1.28,-1.08,1.31,1.31,0.61,0.35,France,48.86,2.35
0.07,-0.05,0.21,0.36,-0.55,-0.56,1.21,0.66,0.32,Italy,41.89,12.49
