,Rating,Cuisine,Reviews
World's Best Lasagna,4.8,Italian,6917.0
Brown Sugar Meatloaf,5.0,Italian,4836.0
Quick and Easy Alfredo Sauce,4.5,Italian,2797.0
Slow Cooker Chicken Stroganoff,5.0,Italian,2213.0
Baked Macaroni and Cheese,5.0,Italian,1918.0
Italian Spaghetti Sauce with Meatballs,4.5,Italian,1883.0
Double Tomato Bruschetta,4.8,Italian,1688.0
American Lasagna,4.7,Italian,1609.0
Chicken Florentine Casserole,3.5,Italian,1451.0
Italian Sausage Soup,5.0,Italian,1409.0
Brown Sugar Meatloaf,4.6,American,4836.0
Good Eats Roast Turkey,5.0,American,3998.0
Baked French Toast Casserole with Maple Syrup,5.0,American,2252.0
Iced Pumpkin Cookies,5.0,American,2121.0
Salisbury Steak,4.5,American,2120.0
Pumpkin Gooey Butter Cakes,5.0,American,2071.0
Not Yo' Mama's Banana Pudding,5.0,American,1947.0
Baked Macaroni and Cheese,4.5,American,1918.0
White Chocolate Raspberry Cheesecake,4.8,American,1737.0
Peach Cobbler,4.0,American,1537.0
Buffalo Chicken Dip,4.7,Greek,2626.0
Baklava,4.5,Greek,1279.0
Absolutely Fabulous Greek/House Dressing,4.6,Greek,1068.0
Chocolate Covered Strawberries,5.0,Greek,783.0
Slow Cooker Mashed Potatoes,4.6,Greek,746.0
Greek Chicken Pasta,4.4,Greek,695.0
Peppy's Pita Bread,4.6,Greek,577.0
Greek Pasta Salad I,4.6,Greek,530.0
BLT Salad,5.0,Greek,517.0
Greek Potatoes (Oven-Roasted and Delicious!),5.0,Greek,509.0
Garlic Chicken,4.6,Chinese,3004.0
Szechwan Shrimp,4.4,Chinese,1430.0
Asian Orange Chicken,4.5,Chinese,1005.0
Asian Lettuce Wraps,5.0,Chinese,993.0
Chinese Chicken Fried Rice II,4.0,Chinese,850.0
Japanese Chicken Wings,5.0,Chinese,755.0
Sweet and Sour Chicken I,4.5,Chinese,621.0
Kung Pao Chicken,4.0,Chinese,602.0
Crispy Orange Beef,3.0,Chinese,539.0
Mama's Asian Chicken and Rice,4.5,Chinese,484.0
Chicken Cordon Bleu II,4.8,French,3274.0
Easy Slow Cooker French Dip,4.5,French,2294.0
Salisbury Steak,4.5,French,2120.0
Not Yo' Mama's Banana Pudding,5.0,French,1947.0
Fluffy French Toast,4.5,French,1570.0
Basic Crepes,4.7,French,1310.0
Gourmet Mushroom Risotto,4.8,French,1169.0
Baked French Toast,3.5,French,998.0
Baked French Fries I,4.3,French,955.0
French Toast Casserole,4.3,French,925.0
Brown Sugar Meatloaf,4.5,Japanese,4836.0
Buffalo Chicken Dip,5.0,Japanese,2626.0
Baked Macaroni and Cheese,5.0,Japanese,1918.0
Baked Chicken Nuggets,4.0,Japanese,827.0
Japanese Chicken Wings,4.7,Japanese,755.0
Slow Cooker Salisbury Steak,4.5,Japanese,671.0
Macaroni and Cheese,5.0,Japanese,656.0
Baked Shrimp Scampi,5.0,Japanese,593.0
Chicken and Rice Casserole,4.0,Japanese,591.0
Fried Mozzarella Cheese Sticks,4.5,Japanese,484.0
Guacamole,4.8,Mexican,2804.0
Taco Seasoning I,4.8,Mexican,2668.0
Mexican Rice II,4.5,Mexican,1646.0
Chicken Enchiladas I,5.0,Mexican,1468.0
Fish Tacos,4.7,Mexican,1223.0
Six Can Chicken Tortilla Soup,4.5,Mexican,1167.0
Easy Mexican Casserole,4.4,Mexican,1025.0
Best Spanish Rice,3.0,Mexican,992.0
Southwestern Egg Rolls,4.8,Mexican,961.0
Mexican Bean Salad,5.0,Mexican,925.0
Chicken Tikka Masala,3.5,Indian,1574.0
Naan,5.0,Indian,1280.0
Chicken Makhani (Indian Butter Chicken),5.0,Indian,662.0
Indian Chicken Curry II,4.2,Indian,661.0
Red Lentil Curry,5.0,Indian,515.0
Chicken Marsala,5.0,Indian,397.0
Chickpea Curry,3.0,Indian,383.0
Easy Indian Butter Chicken,5.0,Indian,358.0
Moroccan Lentil Soup,4.4,Indian,338.0
Aloo Phujia,4.4,Indian,267.0
Garlic Chicken,4.6,Spanish,3004.0
Guacamole,4.8,Spanish,2804.0
Chicken Tikka Masala,3.5,Spanish,1574.0
Butternut Squash Soup,4.6,Spanish,1533.0
Baby Back Ribs,4.8,Spanish,1242.0
Spanish Rice II,4.5,Spanish,1155.0
Best Spanish Rice,5.0,Spanish,992.0
Southwestern Egg Rolls,4.8,Spanish,961.0
Antipasto Pasta Salad,5.0,Spanish,874.0
Chicken Parmigiana,4.6,Spanish,860.0
Asian Lettuce Wraps,4.6,Thai,993.0
Chicken Satay,4.0,Thai,429.0
Teriyaki Chicken,4.6,Thai,383.0
Asian Coleslaw,5.0,Thai,367.0
5 Ingredient Coconut Curry,4.5,Thai,325.0
Thai Peanut Chicken,4.0,Thai,320.0
Thai Pineapple Chicken Curry,4.5,Thai,264.0
Pad Thai,4.5,Thai,258.0
Spicy Turkey Burgers,5.0,Thai,243.0
Slow Cook Thai Chicken,5.0,Thai,233.0
Banana Crumb Muffins,4.8,,7355.0
Award Winning Soft Chocolate Chip Cookies,4.7,,7096.0
Banana Banana Bread,4.6,,7043.0
World's Best Lasagna,4.8,Italian,6917.0
Delicious Ham and Potato Soup,4.8,,6447.0
Broiled Tilapia Parmesan,4.7,,5948.0
To Die For Blueberry Muffins,4.7,,5928.0
"Best Big, Fat, Chewy Chocolate Chip Cookie",4.6,,5846.0
Awesome Slow Cooker Pot Roast,4.7,,5815.0
Good Old Fashioned Pancakes,4.6,,5305.0
